#p2
#QuimP output - /home/baniuk/Documents/Repos/QuimP-env/QuimP-Python/data/Stack_1.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 1.0 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
1,72.62,178.26,0.00,0.00,0.00,0.00,131.89,1.56,0.811,1122.00
2,73.01,177.85,0.57,0.57,1.00,0.57,131.76,1.61,0.815,1126.00
3,72.54,178.22,0.09,1.16,0.08,0.60,128.00,1.49,0.817,1065.00
4,72.04,177.84,0.72,1.80,0.40,0.63,119.69,1.35,0.855,975.00
5,72.84,177.43,0.86,2.70,0.32,0.90,122.22,1.31,0.835,993.00
6,73.38,176.50,1.92,3.77,0.51,1.08,114.39,1.22,0.893,930.00
7,73.11,176.35,1.97,4.08,0.48,0.31,116.51,1.16,0.868,938.00
8,72.30,175.35,2.93,5.38,0.55,1.29,117.52,1.08,0.899,988.00
9,72.07,175.00,3.30,5.79,0.57,0.41,119.87,1.11,0.853,975.00
10,71.30,172.26,6.14,8.64,0.71,2.85,126.48,1.18,0.876,1115.00
11,71.50,171.67,6.69,9.26,0.72,0.63,131.60,1.21,0.882,1215.00
12,72.28,169.46,8.81,11.61,0.76,2.35,128.49,1.37,0.862,1132.00
13,72.02,169.44,8.85,11.88,0.74,0.27,127.64,1.35,0.859,1114.00
14,72.56,168.88,9.38,12.65,0.74,0.78,124.82,1.40,0.873,1082.00
15,72.54,168.94,9.33,12.71,0.73,0.06,122.70,1.38,0.882,1057.00
16,72.90,168.63,9.63,13.19,0.73,0.47,122.12,1.38,0.895,1062.00
17,73.19,168.26,10.02,13.66,0.73,0.47,120.70,1.37,0.874,1013.00
18,72.74,167.88,10.39,14.25,0.73,0.59,120.18,1.36,0.888,1021.00
19,73.09,168.23,10.05,14.75,0.68,0.50,117.53,1.26,0.903,993.00
20,73.76,168.23,10.10,15.42,0.65,0.67,118.59,1.21,0.888,994.00
21,74.66,167.78,10.68,16.43,0.65,1.01,121.89,1.14,0.892,1055.00
22,76.22,166.90,11.93,18.22,0.65,1.79,126.59,1.19,0.863,1101.00
23,75.21,167.10,11.46,19.25,0.60,1.03,124.64,1.17,0.862,1066.00
24,75.36,167.49,11.12,19.66,0.57,0.42,127.25,1.18,0.817,1053.00
25,76.22,167.39,11.45,20.52,0.56,0.86,131.37,1.18,0.782,1074.00
26,76.31,166.96,11.89,20.96,0.57,0.44,141.95,1.27,0.722,1157.00
27,76.26,166.84,11.99,21.10,0.57,0.13,139.24,1.27,0.746,1151.00
28,76.64,166.63,12.31,21.52,0.57,0.43,140.41,1.34,0.727,1140.00
29,75.93,165.87,12.83,22.56,0.57,1.04,138.59,1.41,0.732,1119.00
30,75.59,164.18,14.39,24.28,0.59,1.72,150.18,1.68,0.680,1221.00
31,75.01,162.03,16.41,26.51,0.62,2.23,157.24,1.92,0.638,1256.00
32,74.66,161.50,16.89,27.15,0.62,0.64,148.30,1.95,0.695,1216.00
33,72.70,160.24,18.02,29.48,0.61,2.33,142.31,1.97,0.705,1137.00
34,71.74,159.82,18.46,30.53,0.60,1.05,142.59,1.97,0.701,1134.00
35,70.45,156.55,21.82,34.04,0.64,3.52,154.48,2.16,0.666,1265.00
36,69.08,153.07,25.44,37.78,0.67,3.74,161.01,2.53,0.660,1361.00
37,67.03,150.32,28.50,41.22,0.69,3.44,167.19,2.88,0.627,1395.00
38,63.79,146.12,33.33,46.51,0.72,5.30,175.01,3.09,0.568,1384.00
39,62.07,144.15,35.71,49.14,0.73,2.62,167.13,3.09,0.595,1322.00
40,61.56,141.85,38.06,51.49,0.74,2.35,168.43,3.02,0.602,1359.00
