#p2
#QuimP output - /home/baniuk/Documents/Repos/QuimP-env/QuimP-Python/data/Stack_2.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 1.0 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
8,66164.00,86.94,3.00,482.00,42349.00,87.86,276.00,23815.00,85.36,35.99
9,63731.00,86.12,3.00,462.00,40790.00,88.29,277.00,22941.00,82.52,36.00
10,70210.00,87.33,3.00,523.00,45843.00,87.65,295.00,24367.00,86.72,34.71
11,70007.00,86.32,3.00,519.00,47223.00,90.99,290.00,22784.00,78.03,32.55
12,72498.00,87.98,3.00,519.00,48465.00,93.38,309.00,24033.00,78.80,33.15
13,70078.00,82.54,3.00,533.00,44327.00,83.17,318.00,25751.00,81.49,36.75
14,71562.00,79.34,3.00,576.00,43883.00,76.19,331.00,27679.00,84.90,38.68
15,67376.00,75.45,3.00,584.00,43395.00,74.31,311.00,23981.00,77.61,35.59
16,67082.00,69.30,3.00,661.00,45158.00,68.32,315.00,21924.00,71.41,32.68
17,70284.00,72.91,3.00,651.00,47607.00,73.13,326.00,22677.00,72.45,32.26
18,72114.00,75.67,3.00,637.00,47400.00,74.41,312.00,24714.00,78.21,34.27
19,79014.00,80.22,3.00,650.00,52558.00,80.86,325.00,26456.00,78.97,33.48
20,83853.00,84.61,3.00,655.00,56645.00,86.48,329.00,27208.00,80.98,32.45
21,84425.00,83.59,3.00,668.00,56554.00,84.66,341.00,27871.00,81.49,33.01
22,84042.00,81.28,3.00,688.00,56568.00,82.22,336.00,27474.00,79.40,32.69
23,83300.00,79.71,3.00,707.00,56437.00,79.83,352.00,26863.00,79.48,32.25
24,84532.00,77.13,3.00,741.00,56726.00,76.55,360.00,27806.00,78.33,32.89
25,85877.00,74.68,3.00,779.00,56712.00,72.80,364.00,29165.00,78.61,33.96
26,86873.00,70.57,3.00,826.00,61935.00,74.98,395.00,24938.00,61.58,28.71
27,86793.00,76.81,3.00,733.00,51707.00,70.54,401.00,35086.00,88.38,40.42
28,87703.00,73.70,3.00,805.00,60581.00,75.26,376.00,27122.00,70.45,30.92
29,89571.00,77.15,3.00,783.00,63214.00,80.73,366.00,26357.00,69.73,29.43
30,88616.00,82.20,3.00,733.00,58807.00,80.23,342.00,29809.00,86.40,33.64
31,85611.00,81.07,3.00,704.00,55226.00,78.45,339.00,30385.00,86.32,35.49
32,81480.00,79.18,3.00,679.00,50643.00,74.58,345.00,30837.00,88.11,37.85
33,79370.00,78.82,3.00,682.00,51867.00,76.05,325.00,27503.00,84.62,34.65
34,80240.00,77.60,3.00,703.00,52235.00,74.30,335.00,28005.00,84.61,34.90
35,84639.00,83.22,3.00,676.00,51645.00,76.40,339.00,32994.00,96.76,38.98
36,81360.00,82.02,3.00,670.00,51573.00,76.97,326.00,29787.00,92.51,36.61
37,82754.00,81.85,3.00,687.00,52397.00,76.27,335.00,30357.00,93.69,36.68
38,78609.00,78.53,3.00,691.00,49936.00,72.27,328.00,28673.00,92.49,36.48
39,75040.00,80.86,3.00,637.00,48352.00,75.91,296.00,26688.00,91.71,35.57
40,62641.00,79.19,3.00,518.00,37798.00,72.97,279.00,24843.00,91.00,39.66
41,54867.00,77.39,3.00,449.00,32237.00,71.80,258.00,22630.00,87.04,41.25
42,54809.00,74.37,3.00,473.00,32602.00,68.93,264.00,22207.00,84.12,40.52
43,55519.00,75.43,3.00,469.00,33658.00,71.77,273.00,21861.00,81.88,39.38
44,50130.00,80.59,3.00,385.00,29575.00,76.82,239.00,20555.00,86.73,41.00
45,42703.00,72.13,3.00,367.00,24053.00,65.54,226.00,18650.00,82.89,43.67
46,38410.00,72.47,3.00,320.00,21141.00,66.07,221.00,17269.00,82.23,44.96
47,38563.00,71.68,3.00,314.00,20317.00,64.70,228.00,18246.00,81.46,47.31
48,36059.00,69.08,3.00,310.00,18539.00,59.80,216.00,17520.00,82.64,48.59
49,37025.00,65.30,3.00,341.00,19231.00,56.40,240.00,17794.00,78.73,48.06
50,40237.00,56.91,3.00,450.00,24701.00,54.89,266.00,15536.00,60.45,38.61
51,48074.00,64.27,3.00,499.00,32823.00,65.78,272.00,15251.00,61.25,31.72
52,57866.00,69.89,3.00,550.00,42834.00,77.88,286.00,15032.00,54.07,25.98
53,62578.00,78.32,3.00,509.00,39496.00,77.60,281.00,23082.00,79.59,36.89
54,67249.00,78.47,3.00,549.00,43699.00,79.60,304.00,23550.00,76.46,35.02
55,72120.00,78.14,3.00,588.00,44947.00,76.44,350.00,27173.00,81.11,37.68
56,70047.00,75.24,3.00,591.00,43075.00,72.88,346.00,26972.00,79.33,38.51
57,69896.00,73.04,3.00,634.00,45720.00,72.11,334.00,24176.00,74.85,34.59
58,72464.00,75.80,3.00,631.00,47768.00,75.70,328.00,24696.00,75.99,34.08
59,74950.00,76.17,3.00,655.00,50814.00,77.58,324.00,24136.00,73.36,32.20
60,75278.00,78.58,3.00,633.00,50079.00,79.11,315.00,25199.00,77.54,33.47
#
# Channel 2;Frame, Total Fluo.,Mean Fluo.,Cortex Width, Cyto. Area,Total Cyto. Fluo., Mean Cyto. Fluo.,Cortex Area,Total Cortex Fluo., Mean Cortex Fluo., %age Cortex Fluo.
1,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
4,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
5,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
6,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
7,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
8,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
9,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
10,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
11,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
12,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
13,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
14,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
15,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
16,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
17,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
18,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
19,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
20,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
21,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
22,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
23,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
