#p2
#QuimP output - /home/baniuk/Documents/Repos/QuimP-env/QuimP-Python/data/Stack_0.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 1.0 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
1,277.28,253.07,0.00,0.00,0.00,0.00,127.81,1.42,0.878,1141.00
2,277.68,254.32,1.31,1.31,1.00,1.31,137.82,1.57,0.800,1210.00
3,277.07,255.29,2.23,2.46,0.91,1.15,140.59,1.69,0.800,1259.00
4,277.80,254.93,1.93,3.27,0.59,0.81,140.88,1.70,0.810,1279.00
5,274.11,255.53,4.01,7.01,0.57,3.74,157.73,1.56,0.789,1562.00
6,270.74,254.88,6.78,10.44,0.65,3.43,188.62,1.66,0.570,1614.00
7,269.88,252.59,7.41,12.89,0.57,2.45,197.86,1.78,0.502,1565.00
8,269.79,251.63,7.62,13.85,0.55,0.96,246.18,1.85,0.341,1647.00
9,272.08,251.44,5.45,16.14,0.34,2.29,242.06,2.02,0.397,1851.00
10,276.59,252.86,0.72,20.87,0.03,4.73,204.92,2.06,0.487,1627.00
11,277.31,252.53,0.55,21.66,0.03,0.79,188.54,2.00,0.622,1759.00
12,276.06,252.08,1.57,22.99,0.07,1.33,186.78,1.98,0.637,1768.00
13,276.00,251.86,1.75,23.21,0.08,0.22,192.97,2.08,0.621,1840.00
14,275.77,251.97,1.86,23.46,0.08,0.25,203.62,2.11,0.526,1736.00
15,274.12,251.81,3.40,25.12,0.14,1.66,209.26,2.25,0.499,1738.00
16,274.25,251.65,3.34,25.33,0.13,0.20,199.27,2.01,0.534,1687.00
17,274.16,251.58,3.46,25.44,0.14,0.12,199.15,1.97,0.537,1695.00
18,274.44,251.24,3.37,25.88,0.13,0.44,207.85,1.93,0.505,1735.00
19,274.94,251.20,3.00,26.38,0.11,0.50,196.61,1.86,0.559,1721.00
20,274.89,250.72,3.35,26.86,0.12,0.48,193.92,1.75,0.564,1687.00
21,275.29,250.33,3.38,27.41,0.12,0.55,186.31,1.63,0.601,1660.00
22,274.54,249.77,4.29,28.35,0.15,0.94,190.54,1.57,0.597,1724.00
23,273.56,249.09,5.44,29.54,0.18,1.19,198.39,1.50,0.570,1786.00
24,272.53,248.56,6.55,30.71,0.21,1.16,197.84,1.49,0.585,1821.00
25,271.21,248.74,7.45,32.04,0.23,1.33,204.33,1.57,0.580,1927.00
26,271.02,248.81,7.56,32.24,0.23,0.20,203.91,1.55,0.605,2001.00
27,271.26,249.28,7.11,32.76,0.22,0.52,211.86,1.55,0.567,2026.00
28,273.18,250.94,4.62,35.30,0.13,2.54,208.57,1.42,0.607,2103.00
29,274.46,252.28,2.93,37.15,0.08,1.85,209.52,1.44,0.596,2081.00
30,276.08,254.27,1.69,39.71,0.04,2.57,199.16,1.47,0.664,2097.00
31,277.17,255.93,2.87,41.71,0.07,1.99,202.36,1.53,0.646,2106.00
32,278.41,260.65,7.67,46.59,0.16,4.88,215.97,1.70,0.598,2218.00
33,279.21,264.28,11.37,50.30,0.23,3.71,227.91,1.95,0.543,2244.00
34,278.77,266.51,13.52,52.57,0.26,2.27,229.58,2.06,0.506,2122.00
35,279.42,271.03,18.09,57.14,0.32,4.58,229.16,2.28,0.502,2097.00
36,280.61,276.82,23.98,63.05,0.38,5.91,216.93,2.65,0.526,1968.00
37,280.99,280.28,27.46,66.53,0.41,3.48,212.20,2.56,0.519,1858.00
38,280.76,284.33,31.45,70.58,0.45,4.06,215.79,2.60,0.522,1935.00
39,279.67,289.25,36.25,75.62,0.48,5.04,225.37,2.36,0.505,2042.00
40,277.91,295.85,42.78,82.46,0.52,6.84,222.14,2.38,0.517,2031.00
41,277.55,301.30,48.23,87.92,0.55,5.46,244.64,2.16,0.437,2079.00
42,276.04,307.14,54.09,93.96,0.58,6.04,259.95,2.04,0.393,2112.00
43,278.39,307.71,54.65,96.37,0.57,2.42,245.63,1.39,0.435,2089.00
44,278.00,311.12,58.05,99.80,0.58,3.43,246.85,1.34,0.434,2104.00
45,277.32,314.14,61.07,102.90,0.59,3.10,229.14,1.37,0.482,2014.00
46,276.93,316.82,63.75,105.61,0.60,2.71,212.50,1.37,0.528,1896.00
47,276.32,319.54,66.47,108.39,0.61,2.79,204.67,1.45,0.515,1716.00
48,275.99,321.00,67.94,109.89,0.62,1.49,192.79,1.47,0.549,1623.00
49,275.49,322.10,69.05,111.10,0.62,1.21,186.86,1.62,0.540,1500.00
50,273.51,323.73,70.76,113.66,0.62,2.57,169.33,1.95,0.660,1505.00
51,272.86,324.58,71.64,114.73,0.62,1.07,155.08,1.99,0.683,1307.00
52,271.55,325.99,73.14,116.66,0.63,1.93,144.13,2.14,0.720,1191.00
53,272.68,327.73,74.80,118.73,0.63,2.08,128.18,2.07,0.782,1022.00
54,271.54,328.25,75.40,119.99,0.63,1.25,119.89,2.09,0.776,888.00
55,270.79,328.66,75.87,120.84,0.63,0.85,110.23,1.98,0.781,755.00
56,269.10,329.21,76.57,122.62,0.62,1.78,101.81,1.82,0.810,668.00
57,268.37,329.41,76.86,123.38,0.62,0.76,100.57,1.80,0.817,658.00
58,267.21,332.79,80.35,126.95,0.63,3.57,99.17,1.75,0.829,649.00
59,265.41,339.62,87.36,134.01,0.65,7.06,121.94,2.47,0.689,815.00
60,264.13,342.87,90.76,137.51,0.66,3.50,123.70,2.19,0.731,890.00
#
# Fluorescence measurements
#
# Channel 1;Frame, Total Fluo.,Mean Fluo.,Cortex Width, Cyto. Area,Total Cyto. Fluo., Mean Cyto. Fluo.,Cortex Area,Total Cortex Fluo., Mean Cortex Fluo., %age Cortex Fluo.
1,98372.00,87.60,3.00,791.00,68549.00,86.66,350.00,29823.00,89.83,30.32
2,101219.00,83.10,3.00,841.00,70817.00,84.21,369.00,30402.00,80.64,30.04
3,106008.00,84.87,3.00,890.00,77592.00,87.18,369.00,28416.00,79.15,26.81
4,106231.00,82.67,3.00,906.00,76492.00,84.43,373.00,29739.00,78.47,27.99
5,112540.00,71.64,3.00,1130.00,85092.00,75.30,432.00,27448.00,62.24,24.39
6,118314.00,72.05,3.00,1111.00,81613.00,73.46,503.00,36701.00,69.12,31.02
7,116227.00,73.89,3.00,1043.00,78279.00,75.05,522.00,37948.00,71.60,32.65
8,122833.00,75.13,3.00,1047.00,82231.00,78.54,600.00,40602.00,69.05,33.05
9,127886.00,69.77,3.00,1218.00,94099.00,77.26,633.00,33787.00,54.94,26.42
10,120978.00,75.05,3.00,1087.00,80739.00,74.28,540.00,40239.00,76.65,33.26
11,130638.00,75.08,3.00,1232.00,94883.00,77.02,527.00,35755.00,70.38,27.37
12,140979.00,79.47,3.00,1260.00,107611.00,85.41,508.00,33368.00,64.92,23.67
13,139969.00,76.44,3.00,1317.00,106105.00,80.57,523.00,33864.00,65.88,24.19
14,134002.00,78.14,3.00,1195.00,90888.00,76.06,541.00,43114.00,82.91,32.17
15,132257.00,76.72,3.00,1160.00,82552.00,71.17,578.00,49705.00,88.13,37.58
16,136653.00,80.86,3.00,1136.00,80563.00,70.92,551.00,56090.00,101.25,41.05
17,138124.00,81.49,3.00,1156.00,83612.00,72.33,539.00,54512.00,101.14,39.47
18,137585.00,79.30,3.00,1193.00,84861.00,71.13,542.00,52724.00,97.28,38.32
19,133963.00,78.34,3.00,1185.00,81040.00,68.39,536.00,52923.00,100.81,39.51
20,140516.00,83.24,3.00,1158.00,87327.00,75.41,529.00,53189.00,100.36,37.85
21,139010.00,83.69,3.00,1163.00,89912.00,77.31,497.00,49098.00,98.59,35.32
22,138290.00,80.31,3.00,1224.00,91395.00,74.67,500.00,46895.00,94.17,33.91
23,142041.00,79.44,3.00,1262.00,93413.00,74.02,524.00,48628.00,92.45,34.24
24,144722.00,79.21,3.00,1292.00,95932.00,74.25,529.00,48790.00,91.20,33.71
25,147047.00,76.11,3.00,1378.00,100683.00,73.06,549.00,46364.00,83.69,31.53
26,151517.00,75.27,3.00,1451.00,106084.00,73.11,550.00,45433.00,80.84,29.99
27,157517.00,77.75,3.00,1442.00,108847.00,75.48,584.00,48670.00,83.34,30.90
28,155417.00,74.15,3.00,1530.00,111109.00,72.62,573.00,44308.00,78.28,28.51
29,157186.00,75.03,3.00,1537.00,109744.00,71.40,544.00,47442.00,85.02,30.18
30,159549.00,75.37,3.00,1578.00,114048.00,72.27,519.00,45501.00,84.42,28.52
